id,prompt,source,task,language
3586,"Yenza indlela yokuhlanza qobe langa ephasini lapho ilanga ngalinye liletha isithiyo esihlukileko, njengethuli elilotjhiweko nofana amathulusi wokuhlanza angakalungi.",polywrite,monolingual,ndebele
3587,Usanda kuthoma umsebenzi omutjha begodu ufuna ukuzazisa emalungwini wesiqhema sakho. Tlola i-imeyili ehlelekileko ozazisako begodu uveza ithabo lakho ngokusebenza ndawonye.,polywrite,monolingual,ndebele
3588,"Hlathulula umhlaba wangemva kwe-apocalyptic owakhe kabutjha waba yi-utopia, kodwana uneemfihlo ezifihlakeleko ezisongela ukuthula kwawo.",polywrite,monolingual,ndebele
3589,"Cabanga ngesitolo sokudla sesikhathi esizako lapho amarobhothi aqhutshwa yi-AI asiza abathengi, kodwana anengqondo yawo. Lokhu kuthinta njani isipiliyoni sokuthenga?",polywrite,monolingual,ndebele
3590,Tlola i-imeyili kumngani ongakakhulumi naye isikhathi eside. Batjele ngalokho ebekwenzeka epilwenakho begodu ubabuze bona baphila njani.,polywrite,monolingual,ndebele
3591,"Tlola i-imeyili ebantwini ofunda nabo ngokuhlanganisa iphrojekthi yesiqhema. Yabela imisebenzi, beka amalanga wokugcina, begodu uphakamise isikhathi somhlangano ukucoca ngeragelophambili.",polywrite,monolingual,ndebele
3592,"Tlola ikulumiswano hlangana namakhosi amabili abenza itulo lokubhidliza ikosi ethandekako, kodwana ngokutjhuguluka kokuthi omunye wabo unenjongo efihlekileko.",polywrite,monolingual,ndebele
3593,"Umuntu ongamaziko ogqoke imaski uhlala avela eendaweni ezihlukahlukeneko zobulelesi kodwana akabonakali ahlotjaniswa nobulelesi. Bobani, begodu khuyini abayaziko?",polywrite,monolingual,ndebele
3594,"Emazweni amanengi, abantu abatjha bathwele budisi ukuthola umsebenzi. Ngiziphi iimbangela zendaba le, begodu ngiziphi iinsombululo ongaziphakamisela?",polywrite,monolingual,ndebele
3595,Isiqhema sesayensi sithola bona amabhudango abonakala ngamaqiniso afanako. Lokhu kutjhugulula njani ukuzwisisa kwethu ingqondo?,polywrite,monolingual,ndebele
3596,Yenza indatjana ngomuntu olinga ukutjhiya umkhuba omumbi ongakajayeleki (njengokuhlehlisa nofana ukudla okulula khulu) ngokusebenzisa iindlela ezingakajayeleki nofana zemilingo.,polywrite,monolingual,ndebele
3597,"Tlola i-imeyili kumphathi wakho uxolisa ngokuphuthelwa lilanga lokugcina lephrojekthi. Hlathulula isizathu sokulibaziseka, begodu uveze amagadango wakho ukuqinisekisa bona angeze kwenzeka godu.",polywrite,monolingual,ndebele
3598,"Yenza umhlaba lapho umthombo wamanzi kwaphela yi-oasis eyimfihlakalo ethutha qobe nyanga, okurholela ekufudukeni kwabo boke abahlali.",polywrite,monolingual,ndebele
3599,Tlola i-imeyili kuprofesa wakho ubawa ukungezelelwa kwesikhathi somsebenzi. Hlathulula ubujamo bakho begodu unikele ngesikhathi esifaneleko sokuthi ungaqeda nini umsebenzi.,polywrite,monolingual,ndebele
3600,Cabanga ngephasi lapho imizwa ifakwa khona emabhodleleni bese ithengiswa. Lokhu kuzokutjhugulula njani ukusebenzisana kwabantu nomphakathi?,polywrite,monolingual,ndebele
3601,Inkosana nofana inkosazana iqalekiswe bona iphenduke isilo qobe ebusuku. Kufanele bathole indlela yokususa isiqalekiso ngaphambi kobana sibaqede.,polywrite,monolingual,ndebele
3602,"Tlola i-imeyili ehhovisini lokwamukelwa kweyunivesithi ubawa ilwazi ngehlelo elithileko. Buza ngendlela yokufaka isibawo, amalanga wokugcina, njll.",polywrite,monolingual,ndebele
3603,"Tlola i-imeyili esemthethweni esiphathisweni sikaRhulumende esikhuluma ngendaba yendawo ekukhathazako. Tjho ukutshwenyeka kwakho, unikele ngamaqiniso asekelako, begodu uphakamise iimpendulo ezingabakhona.",polywrite,monolingual,ndebele
3604,Tlola i-imeyili ukubawa ukubuyiselwa namkha ukutjhugululwa komkhiqizo owuthenge ku-inthanethi. Faka inomboro yakho ye-oda nesizathu sokubuyisa.,polywrite,monolingual,ndebele
3605,Cabanga ngomunye umlando lapho u-Leonardo da Vinci aqeda khona umtjhini wesikhathi osebenzako. Bekuzokwenzekani nangabe itholakala eenkhathini zanamhlanjesi?,polywrite,monolingual,ndebele
3606,"Umenzi onodoli wenza onodoli abafana nokuphila, kodwana ngemva kokunyamalala kwakhe okungazwisisekiko, onodoli bathoma ukwenza ngasuthi bayaphila, omunye nomunye uneenhloso ezimbi.",polywrite,monolingual,ndebele
3607,Tlola ngomuntu otlikitla isivumelwano nomthakathi onamandla ngokungazi begodu nje kufuze enze umsebenzi ongakghonakali.,polywrite,monolingual,ndebele
3608,"Kwamanye amazwe, iindima zobulili ziyatjhuguluka, kuthi kwamanye, iindima zesiko ziragela phambili. Uyavuma na bona iindima zobulili ziyatjhuguluka? Lokhu kunomthelela onjani emphakathini?",polywrite,monolingual,ndebele
3609,"Ukuhlanganiswa kwephasi loke kulethe iinzuzo ezinengi, kodwana nemithelela emimbi eendaweni ezithileko zomphakathi. Ngiziphi iimbangela zokuhlanganiswa kwephasi loke, begodu kuwuthinte njani iphasi loke?",polywrite,monolingual,ndebele
3610,"Unikelwa irhelo lezinto zokuthenga ezinezinto ezingabonakali zingekho. Njengombana uphenya, uthola bona into ngayinye mkhondo okhokelela kokuthileko okukhulu khulu.",polywrite,monolingual,ndebele
3611,Cabanga ngemvelo ihlabelela ingoma yokulala ephasini ngaphambi kobana kufike ubusuku. Ngimaphi amagama nemifanekiso ezokusebenzisa?,polywrite,monolingual,ndebele
3612,"Hlathulula ihlelo lomsebenzi lapho woke umsebenzi wangekhaya utjhugululwa ube ngumdlalo omncani, ophelele ngamazinga, imivuzo, kanye neentjhijilo ezingakalindelwa.",polywrite,monolingual,ndebele
3613,Hlathulula ilanga ephasini lapho i-gravity ibuyela emuva ngokuzumako ama-awa ambalwa. Abantu neenlwana basabela njani?,polywrite,monolingual,ndebele
3614,"Abanye bakholelwa bona ubukghwari buyingcenye eqakathekileko yomphakathi, lokha abanye bacabanga bona buyinto yokunethezeka. Xoxa ngemibono yomibili begodu unikele umbono wakho.",polywrite,monolingual,ndebele
3615,Tlola i-imeyili kuprofesa ubuza ngamathuba wokwenza irhubhululo. Gqamisa izinto ozithandako begodu uchaze bona kubayini ungathanda ukusebenza nazo.,polywrite,monolingual,ndebele
3616,"Eendaweni ezinengi ezisemadorobheni, ukutlhogeka kwamakhaya kuyakhula. Ngiziphi iinzathu zokwanda lokhu, begodu khuyini engenziwa ukwehlisa umraro lo?",polywrite,monolingual,ndebele
3617,"Tlola i-imeyili eqinisekisa umbhalisi omutjha wephephandaba lenkampani yakho. Bathokoze ngokubhalisa, ubatjele bona balindeleni, begodu ufake isimemo sokuthatha amagadango.",polywrite,monolingual,ndebele
3618,"Amadragoni kade atjhabalala, kodwana enye sele izalwe kabutjha emzimbeni womuntu. Lokhu kuthinta njani umhlaba wemilingo?",polywrite,monolingual,ndebele
3619,"Yenza ingcoco hlangana ne-AI nomsunguli wayo, lapho i-AI ibuza umnqopho wokuba khona kwayo.",polywrite,monolingual,ndebele
3620,Tlola ngentatheli ekhuluma ngesenzakalo esikhulu somlando esitjhugulula umphumela waso ngombiko owodwa.,polywrite,monolingual,ndebele
3621,Cabanga uhlala endlini engazihlanza kodwana ibe nemibono yayo yokuthi ukuhlanzeka kufanele kube njani. Ngimiphi imiraro evelako?,polywrite,monolingual,ndebele
3622,"Ukugcwala kwabantu sele kuba yinto ekhathazako emadorobheni amanengi. Ngiziphi iimbangela zokugcwala kwabantu, begodu ngimiphi imiphumela empilweni yasemadorobheni?",polywrite,monolingual,ndebele
3623,Tlola i-imeyili kumngani omkhulu namkha ilunga lomndeni wabelane ngeendaba ezithabisako. Batjele imininingwana nokuthi uzizwa njani ngakho.,polywrite,monolingual,ndebele
3624,Tlola ngeplanethi eyabunjwa mhlobo othuthukileko kodwana sele ilahliwe. Khuyini abahlali abatjha abayitholako ngehloso yayo yamambala?,polywrite,monolingual,ndebele
3625,"Abantu abadala abanengi abakabi namakghono wedijithali ephasini lanamhlanjesi. Ngiziphi iinzathu zalokhu, begodu khuyini engenziwa ukuthuthukisa ukufunda nokutlola ngedijithali?",polywrite,monolingual,ndebele
3626,"Tlola i-imeyili yokumaketha ememezela ukuthonywa komkhiqizo omutjha. Faka imininingwana ngeempawu zomkhiqizo, iinzuzo, nanyana ngikuphi ukukhuthazwa okukhethekileko nofana izaphulelo.",polywrite,monolingual,ndebele
3627,Isiqhema samaphangi wezulu sikhamba ngemikhumbi yomoya eenhlengeleni ezintantako kanye namadorobha wezulu sifuna umcebo odumileko ofihlwe emafini.,polywrite,monolingual,ndebele
3628,Tlola ngeengcoco ezingakajayeleki kodwana ezifitjhani ezenzeka eenthuthini zomphakathi hlangana nabagibeli abavela eendaweni ezihlukeneko zokuphila.,polywrite,monolingual,ndebele
3629,Isiqhema sabangani sikhubeka encwadini endala echaza isiko lokubiza unkulunkulu okhohliweko. Benza njengehlaya—bekube kulapho kusebenza khona.,polywrite,monolingual,ndebele
3630,Abantu abanengi bayasuka eendaweni zemakhaya baya emadorobheni. Xoxa ngobuhle nobubi bomkhuba lo.,polywrite,monolingual,ndebele
3631,Tlola i-imeyili eya kuprofesa wangaphambilini nofana umeluleki ubawa isiyeleliso somsebenzi. Hlathulula ubujamo bakho bamanje begodu ubawe isiqondiso sokuthi ungaragela phambili njani.,polywrite,monolingual,ndebele
3632,"Emhlabeni wethekhnoloji ephezulu lapho ukuphumula kwenziwa khona ngokwesayensi, hlatulula indlela umuntu aphumula ngayo ebusuku ngokusebenzisa amathulusi neendlela zesikhathi esizako.",polywrite,monolingual,ndebele
3633,"Hlathulula ukukhamba kwangamalanga edorobheni elihle eligcwele iinlwana ezimangalisako, lapho iinthuthi zomphakathi zifaka hlangana iinkoloyi ezithakazelisako, iinlwana eziphaphako, nofana ama-portal.",polywrite,monolingual,ndebele
3634,Tlola i-imeyili emnyangweni weenkonzo zamakhasimende wenkampani ukukhuluma ngesipiliyoni esimbi owaba naso ngesevisi yabo. Hlathulula umraro begodu uphakamise bona ungathanda bona urarululwe njani.,polywrite,monolingual,ndebele
3635,Abanye bakholelwa bona ukufikelela ukulingana phakathi komsebenzi nokuphila kubudisi khulu namhlanjesi ukudlula esikhathini esidlulileko. Uvumelana kangangani namkha awuvumelani nesitatimende lesi?,polywrite,monolingual,ndebele
3636,"Ukuthunyelwa nge-teleport yindlela ejayelekileko yokuthutha, kodwana ukuphambuka kwenza bona abagibeli babambeke hlangana neendawo okwesikhatjhana. Hlathulula bona abantu baphatha njani ukuhlangahlangana kwangamalanga.",polywrite,monolingual,ndebele
3637,Tlola i-imeyili yokuthengisa ekhasimendeni elikhona elinikela ngemikhiqizo ehlobene nayo abangayithanda ngokuya ngokuthenga kwangaphambilini. Gqamisa bona kubayini imikhiqizo le ihambisana nokuthengwa kwabo.,polywrite,monolingual,ndebele
3638,Hlathulula umlingisi ongakwazi ukufa kodwana ozwa ubuhlungu boke obuvela ekulimaleni kwakhe. Babhekana njani nobukhona lobu?,polywrite,monolingual,ndebele
3639,"Hlathulula umsebenzi owenziwa kude, kodwana kunokuthi usebenze ekhaya, umlingisi usebenza eendaweni ezihlukahlukeneko ezihle khulu (njengeenhlengele ezithambileko nofana amahlathi ahleziweko).",polywrite,monolingual,ndebele
3640,"Ithrekha yakho yokuzivocavoca ithoma ukukunikela isiyeleliso esiqondene nomuntu mathupha, pheze esifana nengqondo. Itjhugulula njani indlela ohlala ngayo, begodu ngiyiphi into efihlekileko?",polywrite,monolingual,ndebele
3641,Tlola ikondlo ebamba isigqi nemisindo yedorobha eliphithizelako ngasuthi yi-symphony.,polywrite,monolingual,ndebele
3642,"Abanye bakholelwa bona imithombo yezokuthintana inomthelela omuhle emphakathini, lokha abanye bacabanga bona inomthelela omumbi. Xoxa ngemibono yomibili begodu unikele umbono wakho.",polywrite,monolingual,ndebele
3643,"Tlola i-imeyili kumthengisi othumele imikhiqizo engakalungi nofana elimeleko. Hlathulula ngobumnene indaba le, unikele ngemininingwana, begodu ubawe ukubuyiselwa imali namkha ukubuyiselwa.",polywrite,monolingual,ndebele
3644,"Yenza ilanga elingakaqakatheki lokwenza imisebenzi libe msebenzi omkhulu, lapho ukuma ngamunye kube nenselele ehlukileko (isib., ukubuyisa izithako ezingakavami, ukurarulula amaphazili, njll.).",polywrite,monolingual,ndebele
3645,Hlathulula ubusuku obujayelekileko obuchithwa nesilwane esifuywako esinekghono lokutjhugulula ubujamo baso ukufanelana nomuzwa womnikazi.,polywrite,monolingual,ndebele
3646,Amadorobha amanengi atjala imali emahlelweni wokuthutha umphakathi ukwehlisa ukuminyana kwemigwaqo. Xoxa ngeenzuzo nezinto ezimbi zokutjala imali.,polywrite,monolingual,ndebele
3647,"Abanye bathi ukuhlolwa kweenlwana ukwenza irhubhululo lezokwelapha kuyatlhogeka, lokha abanye bakholelwa bona kufanele kuvinjelwe. Xoxa ngemibono yomibili begodu unikele umbono wakho.",polywrite,monolingual,ndebele
3648,"Emazweni amanengi, isilinganiso sesisindo sabantu siyakhula, lokha amazinga wepilo nokuzivocavoca ayathoma ukwehla. Ngiziphi iimbangela nezisombululo ezingaba khona zomraro lo?",polywrite,monolingual,ndebele
3649,"Umuntu uthoma ukuzwa amaphupho wakhe amambi epilweni yamambala. Njalo nabavukako, esinye isiqetjhana sephasi lamaphupho amambi sibalandela sibe sebujameni bamambala.",polywrite,monolingual,ndebele
3650,Uqaphele imali engakalungi emthethweni wakho wenyanga. Tlola i-imeyili emnyangweni wokubhadela uhlathulula indaba begodu ubawa ukulungiswa.,polywrite,monolingual,ndebele
3651,"Eendaweni ezinengi zomhlaba, inani labantu abafunda iincwadi lehle khulu. Ngiziphi iinzathu zokwehla lokhu, begodu ngimiphi imiphumela emphakathini?",polywrite,monolingual,ndebele
3652,"Tlola ngomuntu owenza isivumelwano nesidalwa somlingo ukunamathela emigomeni yakhe yezamaphilo. Ilanga ngalinye nabaphula umsebenzi, baqalana nomphumela ongakajayeleki kodwana ongakalungi.",polywrite,monolingual,ndebele
3653,"Tlola ngomuntu owenza ukuzindla eendaweni ezingakajayeleki (isib., phezulu kwesakhiwo esiphakemeko, ngaphasi kwelwandle, ehlathini elikhulu) ukuzindla ngemva kwelanga elide.",polywrite,monolingual,ndebele
3654,Tlola indatjana ngomphakathi lapho umtjhini unquma ukuziphatha komuntu. Kwenzekani lokha umuntu onesikoro esiphasi sokuziphatha nakaphikisa ihlelo?,polywrite,monolingual,ndebele
3655,Tlola ikulumiswano hlangana nomseshi nomhloli wezelelesi ababangani besikhathi esisesebancani.,polywrite,monolingual,ndebele
3656,"Tlola i-imeyili ekhasimendeni eliqakathekileko ulithokoza ngokuragela phambili kwebhizinisi lalo, bese ubazisa ngokukhuthazwa okukhethekileko nofana umnikelo.",polywrite,monolingual,ndebele
3657,"Tlola i-imeyili engakahleleki umema abangani emnyanyeni owubambako. Faka imininingwana ngelanga, isikhathi, indawo, nanyana ngimiphi imisebenzi ekhethekileko.",polywrite,monolingual,ndebele
3658,Yenza uchungechunge lwama-haiku ngamunye amele inkumbulo ehlukeneko yethando elikhohliweko.,polywrite,monolingual,ndebele
3659,Tlola i-imeyili kumphathi wakho ubawa iimpendulo ngombiko osanda ukuthumela. Tjengisa ikareko yakho yokwenza ngcono umsebenzi wakho begodu ubawe iimphakamiso ezithileko.,polywrite,monolingual,ndebele
3660,Tlola i-imeyili eya kuprofesa wangaphambilini umbawa bona akutlolele incwadi yokuncoma. Nikela ngemininingwana ngesikhundla begodu unikele ngokunikela ilwazi elinabileko.,polywrite,monolingual,ndebele
3661,"Emadorobheni amanengi amakhulu, ukusilaphazeka komoya namanzi kuyinto eqakathekileko. Ngiziphi iimbangela zemiraro le, begodu ngiziphi iindlela ezingathathwa ukwenza ngcono ubujamo?",polywrite,monolingual,ndebele
3662,"Cabanga ngeklasi ye-yoga eyenzeka esitudiyo esithakazelisako lapho amandla adonsela phasi atjhuguluka khona, isikhathi sigoba, begodu ukuma kuthatha imiphumela yemilingo.",polywrite,monolingual,ndebele
3663,Yenza umtlolo wejenali ovela kumhloli wezomlando odumileko okhubeka enarheni engekho kiyo nanyana ngiyiphi ibalazwe.,polywrite,monolingual,ndebele
3664,Tlola i-imeyili kummeleli wesevisi yamakhasimende ubuza ngokutholakala nokucaciswa komkhiqizo ofuna ukuwuthenga.,polywrite,monolingual,ndebele
3665,"Hlathulula idorobha lapho zoke izakhiwo nemigwaqo ziphila khona, ngemicabango nemizwa yazo. Izakhamuzi ziphila njani ndawonye namakhaya wazo?",polywrite,monolingual,ndebele
3666,Tlola ikulumiswano hlangana nomuntu ophilako nesipoko esinikela ngesiyeleliso sepilo esingalindelekileko.,polywrite,monolingual,ndebele
3667,Cabanga ngedorobha elikhulu elingaphansi komhlaba elinikelwa amandla ziintjalo ezikhanyako. Ngiziphi iintjhijilo abantu bakhona abaqalene nazo?,polywrite,monolingual,ndebele
3668,Ukuhlanganiswa kwephasi loke kurholela ekulahlekelweni bunikazi bamasiko. Uvumelana kangangani nofana awuvumelani? Ngiziphi iindlela ezingathathwa ukubulunga amasiko wendawo?,polywrite,monolingual,ndebele
3669,Ukutholakala kwamakhambo weentjhabatjhaba kukhuphuke khulu. Xoxa ngeenzuzo nezinto ezimbi zabavakatjhi namazwe abamukelako.,polywrite,monolingual,ndebele
3670,"Tlola ngethekhnoloji (ifowuni, i-laptop, njll.) ehlaselwa yinto embi. Ikhohlisa njani umnikazi wayo?",polywrite,monolingual,ndebele
3671,"Eminyakeni esanda kwedlula, umsebenzi wokude sele uvame khulu. Xoxa ngeenzuzo nezinto ezimbi zomsebenzi wokude.",polywrite,monolingual,ndebele
3672,"Hlathulula umhlaba lapho impucuko ihlala khona eenhlengeleni ezintantako esibhakabhakeni, begodu iinsetjenziswa zithuthwa ngenethiwekhi yamabhaluni amakhulu.",polywrite,monolingual,ndebele
3673,"Cabanga nge-ofisi lapho woke umsebenzi atjengisa imizwa ehlukileko (isib., ithabo, ilaka, umona). Benza njani imisebenzi yangelanga nemihlangano?",polywrite,monolingual,ndebele
